song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
What’s the Move (feat. Maxo Kream and SNSTBLVD),Wiz Khalifa,7ecxRNxyHvfr3IcBE0pxur,29,0.793,0.543,8,-7.081,1,0.149,0.153,0,0.112,0.0964,142.067,audio_features,7ecxRNxyHvfr3IcBE0pxur,spotify:track:7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/tracks/7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/audio-analysis/7ecxRNxyHvfr3IcBE0pxur,216570,4
What’s the Move (feat. Maxo Kream and SNSTBLVD),Maxo Kream,7ecxRNxyHvfr3IcBE0pxur,29,0.793,0.543,8,-7.081,1,0.149,0.153,0,0.112,0.0964,142.067,audio_features,7ecxRNxyHvfr3IcBE0pxur,spotify:track:7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/tracks/7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/audio-analysis/7ecxRNxyHvfr3IcBE0pxur,216570,4
What’s the Move (feat. Maxo Kream and SNSTBLVD),SNSTBLVD,7ecxRNxyHvfr3IcBE0pxur,29,0.793,0.543,8,-7.081,1,0.149,0.153,0,0.112,0.0964,142.067,audio_features,7ecxRNxyHvfr3IcBE0pxur,spotify:track:7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/tracks/7ecxRNxyHvfr3IcBE0pxur,https://api.spotify.com/v1/audio-analysis/7ecxRNxyHvfr3IcBE0pxur,216570,4
Conversations,Juice WRLD,2fZTS0VboxRpF0FdfY7E5P,0,0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,audio_features,2fZTS0VboxRpF0FdfY7E5P,spotify:track:2fZTS0VboxRpF0FdfY7E5P,https://api.spotify.com/v1/tracks/2fZTS0VboxRpF0FdfY7E5P,https://api.spotify.com/v1/audio-analysis/2fZTS0VboxRpF0FdfY7E5P,181661,4
GIRLS (feat. Rico Nasty),KYLE,2g00A2V4Qva4jKSMNjxu0C,29,0.931,0.492,9,-7.454,0,0.327,0.0232,0,0.135,0.844,137.098,audio_features,2g00A2V4Qva4jKSMNjxu0C,spotify:track:2g00A2V4Qva4jKSMNjxu0C,https://api.spotify.com/v1/tracks/2g00A2V4Qva4jKSMNjxu0C,https://api.spotify.com/v1/audio-analysis/2g00A2V4Qva4jKSMNjxu0C,143631,4
GIRLS (feat. Rico Nasty),Rico Nasty,2g00A2V4Qva4jKSMNjxu0C,29,0.931,0.492,9,-7.454,0,0.327,0.0232,0,0.135,0.844,137.098,audio_features,2g00A2V4Qva4jKSMNjxu0C,spotify:track:2g00A2V4Qva4jKSMNjxu0C,https://api.spotify.com/v1/tracks/2g00A2V4Qva4jKSMNjxu0C,https://api.spotify.com/v1/audio-analysis/2g00A2V4Qva4jKSMNjxu0C,143631,4
Hit My Line,Logic,24FR8mXTaiGZPrxnkf1kcP,49,0.62,0.786,9,-5.22,0,0.167,0.143,0,0.46,0.679,164.057,audio_features,24FR8mXTaiGZPrxnkf1kcP,spotify:track:24FR8mXTaiGZPrxnkf1kcP,https://api.spotify.com/v1/tracks/24FR8mXTaiGZPrxnkf1kcP,https://api.spotify.com/v1/audio-analysis/24FR8mXTaiGZPrxnkf1kcP,265191,4
I Don't Like You,Futuristic,7AH5YsIvslMycqhGQYfJpg,0,0.82,0.508,6,-7.302,1,0.337,0.0765,0,0.338,0.893,89.135,audio_features,7AH5YsIvslMycqhGQYfJpg,spotify:track:7AH5YsIvslMycqhGQYfJpg,https://api.spotify.com/v1/tracks/7AH5YsIvslMycqhGQYfJpg,https://api.spotify.com/v1/audio-analysis/7AH5YsIvslMycqhGQYfJpg,142447,4
I Don't Like You,Devvon Terrell,7AH5YsIvslMycqhGQYfJpg,0,0.82,0.508,6,-7.302,1,0.337,0.0765,0,0.338,0.893,89.135,audio_features,7AH5YsIvslMycqhGQYfJpg,spotify:track:7AH5YsIvslMycqhGQYfJpg,https://api.spotify.com/v1/tracks/7AH5YsIvslMycqhGQYfJpg,https://api.spotify.com/v1/audio-analysis/7AH5YsIvslMycqhGQYfJpg,142447,4
Mama,Aminé,5Ze85vOLSjJMABOk1hHTlG,35,0.616,0.689,0,-6.031,1,0.162,0.33,0.000102,0.13,0.467,92.418,audio_features,5Ze85vOLSjJMABOk1hHTlG,spotify:track:5Ze85vOLSjJMABOk1hHTlG,https://api.spotify.com/v1/tracks/5Ze85vOLSjJMABOk1hHTlG,https://api.spotify.com/v1/audio-analysis/5Ze85vOLSjJMABOk1hHTlG,218934,4
Crush (With Melii),Souly Had,0KdSpbDQyKmVo1OLgRengy,28,0.783,0.724,0,-5.858,1,0.247,0.214,0,0.109,0.257,110.054,audio_features,0KdSpbDQyKmVo1OLgRengy,spotify:track:0KdSpbDQyKmVo1OLgRengy,https://api.spotify.com/v1/tracks/0KdSpbDQyKmVo1OLgRengy,https://api.spotify.com/v1/audio-analysis/0KdSpbDQyKmVo1OLgRengy,210734,3
